Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,0.420000,0.420000,0.400000,0.405000,0.405000,935300
2020-09-16,0.405000,0.410000,0.395000,0.410000,0.410000,429800
2020-09-17,0.390000,0.405000,0.390000,0.405000,0.405000,763700
2020-09-18,0.410000,0.410000,0.390000,0.400000,0.400000,518800
2020-09-21,0.380000,0.385000,0.355000,0.385000,0.385000,1937900
2020-09-22,0.380000,0.390000,0.370000,0.370000,0.370000,520200
2020-09-23,0.360000,0.385000,0.320000,0.340000,0.340000,1636100
2020-09-24,0.345000,0.375000,0.330000,0.370000,0.370000,1526400
2020-09-25,0.355000,0.380000,0.350000,0.360000,0.360000,929000
2020-09-28,0.380000,0.400000,0.370000,0.385000,0.385000,1014500
2020-09-29,0.390000,0.390000,0.375000,0.375000,0.375000,256900
2020-09-30,0.380000,0.380000,0.355000,0.355000,0.355000,651900
2020-10-01,0.380000,0.390000,0.340000,0.360000,0.360000,1607900
2020-10-02,0.345000,0.360000,0.340000,0.345000,0.345000,1267500
2020-10-05,0.345000,0.360000,0.345000,0.355000,0.355000,511400
2020-10-06,0.355000,0.360000,0.345000,0.345000,0.345000,670500
2020-10-07,0.340000,0.355000,0.340000,0.350000,0.350000,735300
2020-10-08,0.360000,0.395000,0.355000,0.395000,0.395000,1828900
2020-10-09,0.410000,0.425000,0.400000,0.425000,0.425000,2068700
2020-10-13,0.450000,0.470000,0.430000,0.445000,0.445000,3123100
2020-10-14,0.445000,0.445000,0.420000,0.445000,0.445000,1475000
2020-10-15,0.430000,0.445000,0.420000,0.440000,0.440000,933800
2020-10-16,0.425000,0.430000,0.400000,0.405000,0.405000,1365400
2020-10-19,0.420000,0.440000,0.420000,0.430000,0.430000,1259000
2020-10-20,0.425000,0.445000,0.425000,0.435000,0.435000,1717900
2020-10-21,0.455000,0.480000,0.455000,0.480000,0.480000,4702400
2020-10-22,0.485000,0.495000,0.455000,0.475000,0.475000,3437500
2020-10-23,0.475000,0.475000,0.435000,0.445000,0.445000,2219400
2020-10-26,0.445000,0.455000,0.400000,0.410000,0.410000,2340800
2020-10-27,0.430000,0.470000,0.430000,0.465000,0.465000,2306800
2020-10-28,0.420000,0.440000,0.410000,0.420000,0.420000,1855300
2020-10-29,0.410000,0.435000,0.410000,0.425000,0.425000,1806600
2020-10-30,0.420000,0.520000,0.400000,0.510000,0.510000,5120700
2020-11-02,0.470000,0.480000,0.455000,0.465000,0.465000,1938700
2020-11-03,0.470000,0.475000,0.460000,0.470000,0.470000,1211600
2020-11-04,0.470000,0.520000,0.460000,0.495000,0.495000,2929900
2020-11-05,0.520000,0.550000,0.510000,0.530000,0.530000,3344700
2020-11-06,0.550000,0.550000,0.510000,0.530000,0.530000,2424900
2020-11-09,0.520000,0.520000,0.460000,0.510000,0.510000,4146700
2020-11-10,0.500000,0.500000,0.480000,0.490000,0.490000,1331400
2020-11-11,0.500000,0.530000,0.490000,0.510000,0.510000,1617700
2020-11-12,0.530000,0.530000,0.495000,0.510000,0.510000,1673700
2020-11-13,0.520000,0.530000,0.500000,0.520000,0.520000,860500
2020-11-16,0.530000,0.540000,0.510000,0.520000,0.520000,1567900
2020-11-17,0.530000,0.640000,0.530000,0.620000,0.620000,9823600
2020-11-18,0.670000,0.670000,0.580000,0.620000,0.620000,5999400
2020-11-19,0.630000,0.680000,0.610000,0.660000,0.660000,3292900
2020-11-20,0.690000,0.740000,0.680000,0.720000,0.720000,5493800
2020-11-23,0.780000,0.970000,0.780000,0.970000,0.970000,14522400
2020-11-24,1.060000,1.260000,1.030000,1.130000,1.130000,13872300
2020-11-25,1.150000,1.170000,0.970000,1.020000,1.020000,7959600
2020-11-26,0.850000,0.920000,0.820000,0.880000,0.880000,10270300
2020-11-27,0.870000,0.980000,0.830000,0.980000,0.980000,4414800
2020-11-30,1.170000,1.250000,1.100000,1.250000,1.250000,11613300
2020-12-01,1.230000,1.340000,1.160000,1.200000,1.200000,7576400
2020-12-02,1.200000,1.230000,1.110000,1.190000,1.190000,3293400
2020-12-03,1.230000,1.310000,1.210000,1.300000,1.300000,4759300
2020-12-04,1.220000,1.270000,1.210000,1.260000,1.260000,3636900
2020-12-07,1.270000,1.470000,1.270000,1.410000,1.410000,7164700
2020-12-08,1.390000,1.580000,1.380000,1.380000,1.380000,6431800
2020-12-09,1.400000,1.440000,1.270000,1.350000,1.350000,6064200
2020-12-10,1.310000,1.420000,1.240000,1.400000,1.400000,4389900
2020-12-11,1.340000,1.420000,1.280000,1.300000,1.300000,3273800
2020-12-14,1.430000,1.500000,1.410000,1.480000,1.480000,5152800
2020-12-15,1.510000,1.820000,1.500000,1.790000,1.790000,7984700
2020-12-16,2.050000,2.370000,2.050000,2.340000,2.340000,13793500
2020-12-17,2.910000,3.150000,2.360000,2.590000,2.590000,18433100
2020-12-18,2.490000,2.840000,2.240000,2.520000,2.520000,10486300
2020-12-21,2.550000,2.940000,2.510000,2.640000,2.640000,14024700
2020-12-22,2.870000,2.870000,2.650000,2.860000,2.860000,7962700
2020-12-23,2.890000,2.900000,2.390000,2.470000,2.470000,7744300
2020-12-24,2.260000,2.330000,1.960000,2.160000,2.160000,8619100
2020-12-29,2.720000,2.750000,2.310000,2.510000,2.510000,8828100
2020-12-30,2.600000,2.710000,2.500000,2.520000,2.520000,6173200
2020-12-31,2.360000,2.460000,2.260000,2.390000,2.390000,5152700
2021-01-04,2.730000,2.800000,2.460000,2.500000,2.500000,8786800
2021-01-05,2.500000,2.700000,2.430000,2.690000,2.690000,5962200
2021-01-06,2.750000,2.950000,2.680000,2.760000,2.760000,7823100
2021-01-07,2.910000,3.240000,2.810000,3.100000,3.100000,16862100
2021-01-08,3.240000,3.500000,3.110000,3.370000,3.370000,14845700
2021-01-11,2.500000,3.020000,2.500000,2.810000,2.810000,14229700
2021-01-12,2.870000,3.090000,2.810000,3.000000,3.000000,7695100
2021-01-13,2.930000,3.020000,2.850000,2.990000,2.990000,5043000
2021-01-14,3.160000,3.300000,3.070000,3.110000,3.110000,6532500
2021-01-15,2.850000,2.940000,2.760000,2.850000,2.850000,6963400
2021-01-18,3.050000,3.050000,2.900000,2.940000,2.940000,3338700
2021-01-19,3.050000,3.150000,3.010000,3.040000,3.040000,4329300
2021-01-20,2.930000,2.970000,2.560000,2.850000,2.850000,7523400
2021-01-21,2.310000,2.530000,2.310000,2.420000,2.420000,9099600
2021-01-22,2.500000,2.640000,2.500000,2.580000,2.580000,4457800
2021-01-25,2.800000,2.820000,2.530000,2.590000,2.590000,4426900
2021-01-26,2.500000,2.600000,2.410000,2.550000,2.550000,2384500
2021-01-27,2.350000,2.460000,2.220000,2.260000,2.260000,5210900
2021-01-28,2.280000,2.630000,2.260000,2.620000,2.620000,4428200
2021-01-29,2.910000,2.920000,2.410000,2.410000,2.410000,6624400
2021-02-01,2.410000,2.480000,2.300000,2.400000,2.400000,3992200
2021-02-02,2.540000,2.760000,2.450000,2.700000,2.700000,5487800
2021-02-03,2.810000,2.890000,2.760000,2.830000,2.830000,4257000
2021-02-04,2.900000,2.920000,2.750000,2.820000,2.820000,4216100
2021-02-05,2.880000,2.880000,2.780000,2.800000,2.800000,3009300
2021-02-08,3.070000,3.130000,2.950000,3.000000,3.000000,7362400
2021-02-09,3.100000,3.380000,3.070000,3.360000,3.360000,8119300
2021-02-10,3.360000,3.380000,2.850000,3.140000,3.140000,6872300
2021-02-11,3.280000,3.340000,3.070000,3.270000,3.270000,6034900
2021-02-12,3.250000,3.990000,3.230000,3.970000,3.970000,13016600
2021-02-16,4.370000,4.950000,4.360000,4.790000,4.790000,15154000
2021-02-17,5.200000,6.030000,5.080000,5.960000,5.960000,14708600
2021-02-18,5.810000,6.610000,5.200000,6.070000,6.070000,13323500
2021-02-19,6.400000,7.250000,6.350000,6.800000,6.800000,13489000
2021-02-22,5.630000,7.190000,5.260000,6.280000,6.280000,15256100
2021-02-23,5.310000,5.630000,4.420000,4.900000,4.900000,17669500
2021-02-24,5.500000,5.660000,5.160000,5.350000,5.350000,7094200
2021-02-25,5.690000,5.970000,4.870000,5.090000,5.090000,7727500
2021-02-26,4.700000,5.120000,4.520000,4.820000,4.820000,6452800
2021-03-01,5.410000,5.740000,5.170000,5.720000,5.720000,5866600
2021-03-02,6.100000,6.270000,5.380000,5.510000,5.510000,6419200
2021-03-03,5.850000,5.960000,5.330000,5.440000,5.440000,5199700
2021-03-04,5.240000,5.370000,4.000000,4.480000,4.480000,9409400
2021-03-05,4.620000,4.650000,3.330000,4.430000,4.430000,12219400
2021-03-08,4.720000,5.240000,4.470000,5.040000,5.040000,6461300
2021-03-09,5.500000,5.630000,5.280000,5.340000,5.340000,5760600
2021-03-10,5.580000,5.610000,4.930000,5.040000,5.040000,6201300
2021-03-11,5.000000,5.220000,4.960000,5.050000,5.050000,3062700
2021-03-12,4.720000,4.950000,4.700000,4.880000,4.880000,3098700
2021-03-15,4.950000,5.080000,4.780000,4.840000,4.840000,2902900
2021-03-16,4.670000,4.790000,4.370000,4.470000,4.470000,2569800
2021-03-17,4.300000,4.890000,4.120000,4.840000,4.840000,4206100
2021-03-18,4.790000,4.990000,4.510000,4.530000,4.530000,4100900
2021-03-19,4.720000,4.810000,4.520000,4.690000,4.690000,2613000
2021-03-22,4.700000,4.750000,4.530000,4.560000,4.560000,1942700
2021-03-23,4.490000,4.500000,4.170000,4.190000,4.190000,2786100
2021-03-24,4.530000,4.530000,3.670000,3.830000,3.830000,3995400
2021-03-25,3.490000,4.190000,3.260000,4.180000,4.180000,6041000
2021-03-26,4.260000,4.340000,4.010000,4.140000,4.140000,2568800
2021-03-29,4.340000,4.400000,4.210000,4.300000,4.300000,2479100
2021-03-30,4.400000,4.430000,4.200000,4.410000,4.410000,1708800
2021-03-31,4.390000,4.940000,4.280000,4.910000,4.910000,3880400
2021-04-01,5.050000,5.190000,4.880000,4.980000,4.980000,3142900
2021-04-05,5.130000,5.500000,5.030000,5.440000,5.440000,4008600
2021-04-06,5.410000,5.500000,5.020000,5.030000,5.030000,4278200
2021-04-07,4.810000,5.090000,4.730000,5.010000,5.010000,3573300
2021-04-08,5.080000,5.210000,5.050000,5.140000,5.140000,2293600
2021-04-09,5.180000,5.300000,5.000000,5.010000,5.010000,2055700
2021-04-12,5.120000,5.250000,4.820000,5.120000,5.120000,2292300
2021-04-13,5.240000,5.280000,4.920000,5.020000,5.020000,3205100
2021-04-14,5.140000,5.150000,4.210000,4.350000,4.350000,5008300
2021-04-15,4.500000,4.740000,4.360000,4.730000,4.730000,3451000
2021-04-16,4.450000,4.600000,4.300000,4.380000,4.380000,2908800
2021-04-19,4.130000,4.170000,3.630000,4.070000,4.070000,5545400
2021-04-20,3.870000,4.190000,3.810000,4.000000,4.000000,2340600
2021-04-21,3.910000,4.150000,3.850000,3.860000,3.860000,2548600
2021-04-22,3.940000,4.050000,3.620000,3.630000,3.630000,4394300
2021-04-23,3.300000,3.570000,3.230000,3.550000,3.550000,4587800
2021-04-26,3.740000,3.990000,3.710000,3.950000,3.950000,2924400
2021-04-27,3.990000,4.100000,3.860000,3.950000,3.950000,2427500
2021-04-28,3.940000,3.960000,3.820000,3.930000,3.930000,1334700
2021-04-29,3.870000,3.930000,3.630000,3.670000,3.670000,2377800
2021-04-30,3.720000,4.730000,3.700000,4.730000,4.730000,5776700
2021-05-03,4.750000,4.760000,4.370000,4.560000,4.560000,4190000
2021-05-04,4.370000,4.490000,4.110000,4.190000,4.190000,3034200
2021-05-05,4.220000,4.530000,4.070000,4.100000,4.100000,2842700
2021-05-06,4.150000,4.260000,3.720000,3.800000,3.800000,3689500
2021-05-07,3.900000,4.040000,3.820000,3.940000,3.940000,2229200
2021-05-10,4.100000,4.100000,3.720000,3.740000,3.740000,2899300
2021-05-11,3.520000,3.970000,3.320000,3.750000,3.750000,4345000
2021-05-12,3.680000,3.930000,3.520000,3.540000,3.540000,3008600
2021-05-13,3.300000,3.530000,3.000000,3.110000,3.110000,7755100
2021-05-14,3.320000,3.620000,3.280000,3.490000,3.490000,3891600
2021-05-17,3.080000,3.210000,3.010000,3.120000,3.120000,4458600
2021-05-18,3.120000,3.200000,3.050000,3.110000,3.110000,2195300
2021-05-19,2.600000,3.080000,2.410000,2.860000,2.860000,8566200
2021-05-20,3.100000,3.200000,2.910000,3.050000,3.050000,3834200
2021-05-21,3.110000,3.120000,2.755000,2.840000,2.840000,4459000
2021-05-25,2.960000,3.100000,2.920000,3.030000,3.030000,2946200
2021-05-26,3.110000,3.250000,3.080000,3.210000,3.210000,3158300
2021-05-27,3.310000,3.390000,3.200000,3.260000,3.260000,2167700
2021-05-28,3.200000,3.200000,3.020000,3.040000,3.040000,2236500
2021-05-31,3.140000,3.140000,2.890000,3.020000,3.020000,1394800
2021-06-01,2.940000,3.090000,2.940000,3.000000,3.000000,1558300
2021-06-02,3.100000,3.140000,3.050000,3.100000,3.100000,2158900
2021-06-03,3.130000,3.140000,3.020000,3.060000,3.060000,1484900
2021-06-04,3.000000,3.040000,2.970000,2.990000,2.990000,1042700
2021-06-07,3.050000,3.060000,2.900000,2.900000,2.900000,1316300
2021-06-08,2.830000,2.940000,2.610000,2.870000,2.870000,3837100
2021-06-09,2.990000,3.080000,2.870000,2.990000,2.990000,2210300
2021-06-10,3.080000,3.080000,2.930000,2.950000,2.950000,1458800
2021-06-11,2.970000,2.970000,2.890000,2.900000,2.900000,840400
2021-06-14,3.020000,3.200000,2.970000,3.190000,3.190000,3142700
2021-06-15,3.200000,3.240000,3.060000,3.160000,3.160000,1585900
2021-06-16,3.110000,3.150000,2.980000,2.980000,2.980000,1527900
2021-06-17,3.170000,3.270000,3.150000,3.170000,3.170000,2696700
2021-06-18,3.050000,3.160000,2.950000,3.050000,3.050000,2793600
2021-06-21,2.910000,2.970000,2.870000,2.940000,2.940000,1656100
2021-06-22,2.780000,2.860000,2.540000,2.820000,2.820000,5244200
2021-06-23,2.980000,2.980000,2.850000,2.880000,2.880000,1572800
2021-06-24,2.880000,2.930000,2.870000,2.910000,2.910000,886800
2021-06-25,2.860000,2.860000,2.760000,2.810000,2.810000,1534800
