Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,0.730000,0.764000,0.725000,0.763000,0.763000,81100
2020-09-16,0.760000,0.780000,0.729000,0.753000,0.753000,36000
2020-09-17,0.729000,0.756000,0.716000,0.725000,0.725000,55200
2020-09-18,0.770000,0.770000,0.664000,0.684000,0.684000,347700
2020-09-21,0.703000,0.703000,0.612000,0.671000,0.671000,187400
2020-09-22,0.616000,0.656000,0.616000,0.635000,0.635000,151600
2020-09-23,0.639000,0.691000,0.639000,0.654000,0.654000,292900
2020-09-24,0.662000,0.692000,0.618000,0.675000,0.675000,113600
2020-09-25,0.585000,0.715000,0.585000,0.700000,0.700000,480700
2020-09-28,0.731000,0.750000,0.717000,0.750000,0.750000,137900
2020-09-29,0.712000,0.759000,0.712000,0.730000,0.730000,122000
2020-09-30,0.676000,0.760000,0.676000,0.740000,0.740000,36900
2020-10-01,0.740000,0.750000,0.694000,0.717000,0.717000,121700
2020-10-02,0.650000,0.737000,0.650000,0.730000,0.730000,106200
2020-10-05,0.735000,0.752000,0.713000,0.740000,0.740000,93500
2020-10-06,0.744000,0.759000,0.716000,0.725000,0.725000,169000
2020-10-07,0.711000,0.744000,0.662000,0.726000,0.726000,120200
2020-10-08,0.737000,0.748000,0.720000,0.739000,0.739000,192100
2020-10-09,0.766000,0.794000,0.738000,0.775000,0.775000,223300
2020-10-12,0.780000,0.820000,0.778000,0.800000,0.800000,381500
2020-10-13,0.802000,0.850000,0.760000,0.776000,0.776000,154000
2020-10-14,0.805000,0.805000,0.755000,0.770000,0.770000,122300
2020-10-15,0.776000,0.777000,0.746000,0.765000,0.765000,47700
2020-10-16,0.770000,0.779000,0.754000,0.770000,0.770000,35600
2020-10-19,0.780000,0.780000,0.741000,0.771000,0.771000,81200
2020-10-20,0.779000,0.820000,0.761000,0.800000,0.800000,91500
2020-10-21,0.812000,0.917000,0.812000,0.888000,0.888000,282500
2020-10-22,0.887000,0.905000,0.863000,0.900000,0.900000,228800
2020-10-23,0.888000,0.940000,0.833000,0.857000,0.857000,214500
2020-10-26,0.852000,0.885000,0.800000,0.828000,0.828000,215100
2020-10-27,0.876000,0.910000,0.855000,0.892000,0.892000,269300
2020-10-28,0.883000,0.883000,0.791000,0.805000,0.805000,291900
2020-10-29,0.795000,0.895000,0.795000,0.878000,0.878000,120400
2020-10-30,0.894000,0.972000,0.836000,0.963000,0.963000,179100
2020-11-02,0.940000,0.987000,0.911000,0.950000,0.950000,124700
2020-11-03,0.969000,0.970000,0.923000,0.954000,0.954000,183100
